TF	Experiment	cellLine
WWTR1	GSM1614031	unknown
NR3C1	GSM1841306	unknown
HOXB13	GSM2537215	unknown
NR3C1	ENCSR385RUW_1	unknown
ZBTB33	ENCSR876GXA_2	K562
NRF1	GSM2574813	unknown
POU3F2	GSM1934423	unknown
REST	GSM803370	unknown
SUZ12	GSM1842795	unknown
CTCF	GSM1234218	unknown
ERG	GSM2086313	unknown
HDAC8	GSM777640	unknown
TCF7L2	GSM1249449	unknown
ESR1	GSM2154987	unknown
CTCF	GSM1022667	unknown
TCF21	GSM1503217	unknown
BRD4	GSM2359447	unknown
SRF	GSM1505777	unknown
GATA3	GSM957608	unknown
PMEL	GSM1423007	unknown
EP300	GSM1010827	unknown
POLR2A	GSM2316357	unknown
MYC	GSM1493021	unknown
BATF	GSM1370277	unknown
FOXO3	GSM2574753	unknown
HIRA	GSM1358819	unknown
EP300	GSM2026059	unknown
TET2	GSM1863068	unknown
EP300	GSM1669055	unknown
POLR2A	GSM748544	unknown
POLR2A	GSM637408	unknown
CHD8	GSM1381222	unknown
CBFB	GSM1122302	unknown
POLR2A	GSM2151649	unknown
POLR2A	GSM1527708	unknown
PAX6	GSM1567048	unknown
SRF	GSM1505776	unknown
EED	ENCSR199WXF_1	GM12878
SUMO2	GSM1777597	unknown
ESR1	GSM1669085	unknown
ESR1	GSM2797086	unknown
CTCF	GSM2747715	unknown
GLIS1	ENCSR482BBZ_2	HEK293
POLR2A	GSM2664036	unknown
POLR2A	GSM1296635	unknown
PIAS1	GSM2219875	unknown
CTCF	GSM749707	unknown
CTCF	GSM2067536	unknown
E2F1	GSM699988	unknown
BRD4	GSM2212237	unknown
ESR1	GSM2305320	unknown
FOXM1	GSM1000997	unknown
POLR2A	GSM393966	unknown
SUZ12	GSM935423	unknown
POLR2A	GSM320735	unknown
CTCF	GSM1233978	unknown
MYC	GSM487427	unknown
BRD4	GSM2635249	unknown
SMC3	ENCSR000HPG_2	IMR-90
SPI1	GSM624143	unknown
REST	GSM1208790	unknown
BRD4	GSM1133650	unknown
BCL6	GSM1462461	unknown
GABPA	GSM1193660	unknown
ESR1	GSM1669134	unknown
GATAD2B	ENCSR389BLX_2	MCF-7
NR2F2	ENCSR338MMB_1	liver
ZFX	ENCSR920ASP_2	K562
CTCF	GSM1234145	unknown
MYC	GSM822310	unknown
FOXM1	GSM1464022	unknown
MYC	GSM808766	unknown
E2F4	GSM1019122	unknown
POLR2A	GSM733671	unknown
SMAD1	GSM722397	unknown
POLR2A	GSM2257572	unknown
GRHL2	GSM2970418	unknown
EP300	GSM393946	unknown
MYC	GSM1907204	unknown
FOXK2	ENCSR171FUX_2	HepG2
AR	GSM1358404	unknown
TAL1	GSM837998	unknown
CTCF	GSM749737	unknown
POLR2A	GSM869313	unknown
SUMO2	GSM1777599	unknown
ATF1	GSM1861936	unknown
POLR2A	GSM1679133	unknown
ESR1	GSM1831739	unknown
ETS1	GSM1009647	unknown
CTCF	GSM2730056	unknown
POLR2A	GSM1091918	unknown
NR3C1	GSM2103041	unknown
POLR2A	GSM1059393	unknown
CDK8	GSM1587923	unknown
POLR2A	GSM2676810	unknown
SMARCB1	GSM881711	unknown
FOXA1	GSM1470026	unknown
BATF	GSM1370272	unknown
ESR1	GSM1669018	unknown
ZNF140	ENCSR464KFG_2	HEK293
POLR2A	GSM1240001	unknown
CTCF	GSM1273199	unknown
POLR2A	GSM393967	unknown
HDGF	ENCSR200CUA_1	MCF-7
POLR2A	GSM2712770	unknown
EP300	GSM1009630	unknown
AR	GSM2086301	unknown
FOXA1	GSM631471	unknown
TBP	GSM935277	unknown
ZNF697	ENCSR217QCK_2	unknown
ZNF121	GSM2026794	unknown
REST	GSM1333990	unknown
MED1	GSM1847370	unknown
MYC	GSM822304	unknown
GATA3	GSM2644581	unknown
SSRP1	ENCSR571PDN_2	HepG2
SIX2	GSM1904597	unknown
IRF4	GSM1370279	unknown
POLR2A	GSM2218623	unknown
FOXA1	GSM2797077	unknown
POLR2A	GSM2467779	unknown
WDR5	GSM1517542	unknown
RXRG	GSM468204	unknown
ELK4	GSM935351	unknown
ESR1	GSM1019128	unknown
STAG1	GSM1239586	unknown
NR3C1	GSM1858633	unknown
HIRA	GSM1095934	unknown
TET3	GSM1301134	unknown
AR	GSM1717862	unknown
FOXM1	GSM1464019	unknown
HIC1	ENCSR803GYT_2	HEK293
PBX3	GSM1831600	unknown
TAL1	GSM2877123	unknown
ESR1	GSM2467223	unknown
SPI1	GSM1642769	unknown
NELFE	GSM1483191	unknown
KLF1	ENCSR550HCT_1	K562
BRD4	GSM2316300	unknown
REPIN1	GSM1113434	unknown
AR	GSM801011	unknown
PPARG	GSM534493	unknown
MYC	GSM1976290	unknown
STAT3	GSM2278005	unknown
SCRT1	GSM2026863	unknown
SSRP1	GSM1103547	unknown
ERG	GSM726984	unknown
TFAP2A	GSM1081381	unknown
POLR2A	GSM1820483	unknown
TTF1	GSM1246716	unknown
REST	GSM1333959	unknown
POLR2A	GSM1448893	unknown
PR	GSM1669070	unknown
XBP1	GSM1276189	unknown
SMAD2	GSM2635691	unknown
UBTF	ENCSR634ZGP_1	HeLa-S3
NANOG	GSM1901445	unknown
FOXA2	GSM2401468	unknown
BRD4	GSM1022943	unknown
TET2	GSM2687535	unknown
MED1	GSM1036407	unknown
BRD4	GSM1874949	unknown
CTCF	GSM646455	unknown
CUX1	GSM2439236	unknown
ZNF143	GSM732907	unknown
EGR1	GSM1010846	unknown
SMARCC1	GSM2409689	unknown
CTCF	GSM749674	unknown
CTCF	GSM1022652	unknown
IKZF1	GSM1420197	unknown
CTCF	GSM1684572	unknown
FOXA1	GSM1463461	unknown
SMC1A	GSM2443455	unknown
FOSL2	ENCSR535HFQ_2	unknown
POLR2A	GSM2746543	unknown
AR	GSM1527023	unknown
NR3C1	ENCSR720DXT_2	unknown
PPARG	GSM2042854	unknown
FOXA1	GSM2797130	unknown
AR	GSM916522	unknown
MYC	GSM935548	unknown
AR	GSM1207892	unknown
STAT1	GSM1057010	unknown
ERG	GSM2086311	unknown
PHF8	GSM566165	unknown
CTCF	GSM2235693	unknown
FOXM1	GSM1010769	unknown
EED	GSM1045472	unknown
CTCF	GSM646353	unknown
PML	GSM468206	unknown
GATA3	GSM1602666	unknown
ZNF558	ENCSR447ZTA_1	HEK293
BRD4	GSM1874947	unknown
PBX1	GSM1438989	unknown
STAT3	GSM935591	unknown
MED1	GSM2190584	unknown
PR	GSM1669077	unknown
POLR2A	GSM486476	unknown
TP53	GSM2296272	unknown
GTF2B	GSM2041449	unknown
MAZ	GSM935337	unknown
STAG1	GSM1233931	unknown
CTCF	GSM1505624	unknown
TLE3	GSM2480823	unknown
FLI1	GSM585591	unknown
ESR1	GSM2071224	unknown
GATA1	GSM651547	unknown
BRD3	GSM971947	unknown
INO80	GSM2257951	unknown
NR2F1	ENCSR970NKQ_1	K562
SUZ12	GSM831042	unknown
POLR2A	GSM486483	unknown
SRF	GSM1010851	unknown
FOXA1	GSM2277150	unknown
POLR2A	GSM2670978	unknown
TOP1	GSM2058676	unknown
MEF2B	GSM1703929	unknown
MXI1	GSM935437	unknown
CDK9	GSM935136	unknown
POLR3D	GSM1906362	unknown
CHAMP1	ENCSR065XVO_1	K562
TET2	GSM2467007	unknown
POLR2A	GSM486498	unknown
FOXA1	GSM759661	unknown
GATA3	GSM2644582	unknown
MYC	GSM2267693	unknown
PPARG	GSM1571726	unknown
RELA	GSM1566733	unknown
ZBTB33	ENCSR541PDV_1	unknown
GABPA	GSM1861926	unknown
TEAD4	GSM1084783	unknown
BACH2	GSM1703916	unknown
POLR2A	GSM2550196	unknown
EZH2	GSM2265654	unknown
NR3C1	ENCSR720DXT_1	unknown
BAHD1	GSM1290244	unknown
BRD4	GSM2359450	unknown
FOXM1	GSM1464023	unknown
NRF1	GSM935309	unknown
REST	GSM1333997	unknown
CDK7	GSM1121098	unknown
POLR2A	GSM2218638	unknown
NEUROG2	GSM1970156	unknown
HCFC1	GSM1003625	unknown
KLF15	GSM2026886	unknown
STAG1	GSM1234120	unknown
E2F1	GSM699985	unknown
AFF1	GSM2364551	unknown
PR	GSM770758	unknown
TAL1	GSM2877116	unknown
BRCA1	GSM935377	unknown
ZNF382	GSM2466543	unknown
BCL6	GSM763402	unknown
GFI1B	ENCSR445PDR_1	HEK293
E2F1	GSM1207890	unknown
ZBTB33	GSM1010799	unknown
E2F1	GSM1207905	unknown
TCF12	GSM1010842	unknown
TP53	GSM1342494	unknown
ZBTB48	GSM2543147	unknown
POLR2A	GSM1405111	unknown
BRD4	GSM2330588	unknown
POLR2A	GSM1579360	unknown
ESR1	GSM1198713	unknown
KDM4B	ENCSR642VZY_2	K562
WDR5	GSM1493030	unknown
SMC3	GSM2747757	unknown
POLR2A	GSM301567	unknown
L3MBTL2	ENCSR530XQI_1	K562
FOXP2	GSM803480	unknown
HEXIM1	GSM1661789	unknown
HINFP	GSM1208631	unknown
BCL6	GSM1438986	unknown
ESR1	GSM1325250	unknown
POLR2A	GSM1037518	unknown
CTCF	GSM1240813	unknown
MYC	GSM1429421	unknown
ATF1	GSM935340	unknown
RAD21	GSM2809609	unknown
SOX2	GSM456570	unknown
EBF1	GSM803386	unknown
POLR2A	GSM748536	unknown
YY1	GSM2597222	unknown
EHMT2	GSM1642516	unknown
AR	GSM980663	unknown
NCOR1	GSM1534443	unknown
GATA3	ENCSR423RTK_1	MCF-7
KMT2D	GSM1846896	unknown
SSRP1	ENCSR571PDN_1	HepG2
FOXA1	GSM1919987	unknown
MED1	GSM1566731	unknown
CEBPB	GSM1010871	unknown
NR2C2	ENCSR750LYM_1	K562
ZNF793	GSM2466667	unknown
STAT3	GSM2278008	unknown
ZNF16	ENCSR093HXE_1	HEK293
SP1	GSM1010902	unknown
SETDB1	GSM607489	unknown
TRIM28	GSM1866695	unknown
LYL1	GSM1901545	unknown
CTCF	GSM1233933	unknown
KLF16	ENCSR760UVO_1	K562
RAD21	GSM614622	unknown
YBX1	ENCSR864KNH_2	MCF-7
NR3C1	GSM2103042	unknown
HNF4A	GSM1240815	unknown
YY1	GSM2597230	unknown
SOX11	GSM1260313	unknown
ETS1	GSM1424531	unknown
ERG	GSM353647	unknown
SNAI2	GSM1336151	unknown
CTCF	GSM1224655	unknown
MTA3	ENCSR391KQC_1	MCF-7
TP53	GSM2746540	unknown
FOXP1	GSM1239500	unknown
ESR1	GSM631483	unknown
BRD4	GSM1121094	unknown
ZBTB2	GSM2574778	unknown
SPI1	GSM1566551	unknown
CTCF	GSM1233871	unknown
EZH2	GSM1129359	unknown
GATA2	GSM935589	unknown
NIPBL	GSM2040028	unknown
BMI1	GSM2579121	unknown
AR	GSM1527024	unknown
STAT3	GSM2278006	unknown
CCDC101	GSM566162	unknown
ESR1	GSM1669080	unknown
DDX20	ENCSR446LAV_2	K562
SIX1	GSM1970525	unknown
MBD1	ENCSR260UJI_2	HepG2
PPARG	GSM2042858	unknown
RAD21	GSM1208668	unknown
PAF1	GSM2769057	unknown
CDX2	GSM791414	unknown
TRAF7	GSM2421991	unknown
ZSCAN20	ENCSR767HOP_1	unknown
ZEB2	ENCSR417VWF_1	HEK293
POU5F1	GSM2648934	unknown
NR3C1	ENCSR691GRA_2	unknown
HDAC1	GSM393950	unknown
MKL2	GSM2436682	unknown
IRF1	GSM1057027	unknown
POLR2A	GSM1192077	unknown
POLR2A	GSM1278000	unknown
GTF2I	GSM1539059	unknown
ETS1	GSM803510	unknown
POLR2A	GSM889415	unknown
FOXA2	GSM2977504	unknown
FAIRE	GSM925735	unknown
EP300	GSM1055813	unknown
BRD4	GSM1036402	unknown
ESR1	GSM798393	unknown
POLR3D	GSM2544234	unknown
CTCF	ENCSR028YEV_1	spleen
MYCN	GSM2113526	unknown
CTCF	GSM1006870	unknown
ESR1	GSM2125163	unknown
ZBTB17	ENCSR631WAA_1	HEK293
ESR1	GSM631480	unknown
YAP1	GSM1696207	unknown
EZH2	GSM1003487	unknown
CDK8	GSM937563	unknown
RFX5	GSM935382	unknown
FOXA1	GSM798438	unknown
RELA	GSM2419827	unknown
CTCF	GSM1022671	unknown
ELF1	GSM1010790	unknown
SRF	GSM2436678	unknown
MYC	GSM1088663	unknown
PR	GSM2797146	unknown
FOXA2	GSM2430675	unknown
RBBP5	GSM831014	unknown
MYB	GSM2466687	unknown
ESR1	GSM2467227	unknown
MYC	GSM1208654	unknown
DAXX	GSM1678030	unknown
TET2	GSM1863077	unknown
RELA	GSM604658	unknown
TP73	GSM501689	unknown
RUNX1	GSM1113438	unknown
FOXA1	GSM1891832	unknown
NEUROG2	GSM1970157	unknown
EP300	ENCSR610RKF_3	unknown
FOXP1	GSM1544533	unknown
PR	GSM2112807	unknown
GATA2	GSM1888548	unknown
NR1H2	GSM2042842	unknown
FOXA1	GSM958754	unknown
CDK9	GSM1313924	unknown
AR	GSM817347	unknown
OGT	GSM2459951	unknown
HOXB13	GSM1716766	unknown
POLR2A	GSM2592806	unknown
POLR2A	GSM301568	unknown
POLR2A	GSM889410	unknown
ASH2L	GSM1489926	unknown
MED1	GSM1537679	unknown
GATA3	GSM1856031	unknown
GATA2	GSM941195	unknown
POLR2A	GSM2467782	unknown
POLR2A	GSM2367765	unknown
HOXB13	GSM2537214	unknown
ESR1	GSM2467226	unknown
JUND	GSM1503220	unknown
CEBPB	ENCSR447ZMS_1	unknown
EZH2	GSM1427071	unknown
CTCF	GSM1463918	unknown
AR	GSM1527036	unknown
POLR2A	GSM1892292	unknown
E2F7	GSM991660	unknown
FOXA1	GSM1945030	unknown
MBD2	GSM1388124	unknown
GATA2	GSM1888549	unknown
ZNF207	ENCSR096KWU_1	MCF-7
TP63	GSM1139033	unknown
DUX4	GSM1967861	unknown
POLR2A	GSM1505716	unknown
SMC1A	GSM2809611	unknown
JARID2	GSM1180153	unknown
REST	GSM1010891	unknown
CEBPB	GSM1010850	unknown
ZNF18	GSM2574789	unknown
BCL3	ENCSR288EPV_2	unknown
GLI4	ENCSR211PZO_2	HEK293
AR	GSM1598222	unknown
TRIM24	GSM1697901	unknown
BANF1	GSM1645711	unknown
AR	GSM1069681	unknown
POLR2A	GSM1905390	unknown
NR3C1	ENCSR952GOL_3	unknown
LARP7	ENCSR288MOZ_1	K562
ZKSCAN8	ENCSR448UKK_1	K562
AR	GSM353644	unknown
NR3C1	GSM1858648	unknown
ESR1	GSM2747698	unknown
JUNB	ENCSR917MAH_1	GM23338
HOXA9	GSM1529674	unknown
EP300	GSM1333966	unknown
MEF2B	GSM1703908	unknown
CEBPD	GSM1010777	unknown
ZFP37	ENCSR365GRX_1	HEK293
POLR2A	GSM1463465	unknown
E2F1	GSM1207898	unknown
BRD4	GSM1587907	unknown
CTCF	GSM849301	unknown
FLI1	GSM790205	unknown
NR3C1	GSM980665	unknown
SUMO2	GSM1622625	unknown
YY1	ENCSR994YLZ_2	liver
ZBTB48	GSM2543156	unknown
MBD2	GSM1006707	unknown
CTCF	GSM1010820	unknown
EP300	GSM1290184	unknown
CTCF	GSM2257818	unknown
PIAS1	GSM1354834	unknown
FOXA2	GSM2977502	unknown
ESR1	GSM2071222	unknown
EP300	GSM1003583	unknown
BRD4	GSM1195567	unknown
STAT5A	GSM1010877	unknown
POLR2A	GSM748549	unknown
AR	GSM2086300	unknown
POLR2A	GSM2360991	unknown
CTCF	GSM733645	unknown
POLR2A	GSM1195554	unknown
TERC	GSM820431	unknown
POLR3D	GSM1906352	unknown
EP300	GSM1438990	unknown
CTCF	GSM749730	unknown
RFX5	GSM1003615	unknown
FOXH1	GSM727564	unknown
LEF1	ENCSR343ELW_1	K562
POLR2A	GSM2041448	unknown
SPI1	GSM1940197	unknown
NELFE	GSM2151645	unknown
BACH1	ENCSR740NPG_1	K562
CDK9	GSM2090926	unknown
GATA1	GSM788368	unknown
POLR2A	GSM2895350	unknown
POLR2A	GSM1579362	unknown
BRD4	GSM1976289	unknown
TFAP2A	GSM2817666	unknown
FOXA1	GSM1858639	unknown
RFX1	ENCSR066TET_1	MCF-7
CTCF	GSM2439223	unknown
C11orf30	ENCSR350XWY_1	K562
IRF1	GSM2394412	unknown
AR	GSM1410772	unknown
BRD4	GSM1820926	unknown
RELB	GSM1556334	unknown
RAD21	ENCSR703TNG_1	MCF-7
FOXM1	GSM1464013	unknown
STAG1	GSM1234214	unknown
POLR2A	GSM1010788	unknown
PIAS1	GSM1622631	unknown
POLR2A	GSM935462	unknown
HCFC1	ENCSR697CUP_2	MCF-7
POLR2A	GSM1777590	unknown
BCL3	ENCSR555AYD_2	unknown
POLR2A	GSM2064704	unknown
CTCF	GSM2316305	unknown
SP1	GSM1010813	unknown
AR	GSM1071294	unknown
KRAB	GSM1819878	unknown
MYC	GSM2305255	unknown
AR	GSM1868862	unknown
HNF4G	GSM2277166	unknown
SCML2	GSM937871	unknown
KLF1	ENCSR859BMR_1	HEK293
FOXA2	GSM2401466	unknown
ESR1	GSM1669138	unknown
TEAD1	GSM1331246	unknown
POLR2A	GSM2467780	unknown
POLR2A	GSM920942	unknown
HDAC1	GSM830993	unknown
KDM5A	GSM831031	unknown
BRD4	GSM1536175	unknown
ESR1	GSM1643999	unknown
IRF1	GSM935505	unknown
DNMT1	GSM1678031	unknown
GATA2	GSM941194	unknown
BRD4	GSM2359457	unknown
POLR2A	GSM1727101	unknown
CTCF	GSM1354439	unknown
POLR2A	GSM2405921	unknown
TAL1	GSM837996	unknown
HHEX	ENCSR656JZL_1	HepG2
SMARCC2	GSM935638	unknown
JUN	GSM1700786	unknown
FOSL2	ENCSR103UVU_2	unknown
ARNT	GSM1024800	unknown
NCOR1	GSM898056	unknown
CHD1	ENCSR360JOC_2	MCF-7
CREBBP	GSM1443803	unknown
POLR2A	GSM1976297	unknown
IRF1	GSM1057026	unknown
PAF1	GSM2212243	unknown
CTCF	GSM1224657	unknown
TSC22D4	GSM2574802	unknown
KDM5C	GSM831000	unknown
USF2	GSM935558	unknown
DPF2	ENCSR715CCR_1	K562
POLR2A	GSM935534	unknown
NR3C1	GSM2797089	unknown
SOX2	GSM1208794	unknown
MYC	GSM1240821	unknown
BCL3	GSM803342	unknown
RNF2	ENCSR076YPO_1	K562
FOXA2	GSM1617408	unknown
POU5F1	GSM881712	unknown
ESR1	GSM2443995	unknown
POLR2A	GSM1249893	unknown
SMARCA4	GSM1835884	unknown
PR	GSM999792	unknown
FOSL2	ENCSR103UVU_1	unknown
TCF12	GSM1010861	unknown
POLR2A	GSM1195553	unknown
E2F1	GSM2046831	unknown
ZEB1	GSM1010809	unknown
FOXA1	GSM1858629	unknown
NR3C1	GSM1350529	unknown
CLOCK	GSM1081128	unknown
BRD4	GSM1820921	unknown
ESR1	GSM2061656	unknown
CHD1	GSM831025	unknown
NRF1	GSM1003630	unknown
CHD1	GSM1003444	unknown
MLLT1	ENCSR552XSN_2	GM12878
POLR2A	GSM1116661	unknown
FAIRE	GSM929903	unknown
POLR2A	GSM894089	unknown
SNAI2	GSM1336153	unknown
POLR2A	GSM2664037	unknown
VDR	GSM558636	unknown
AR	GSM817354	unknown
POLR2A	GSM2676801	unknown
ERG	GSM1328980	unknown
CTCF	GSM2067525	unknown
FOXM1	GSM1001006	unknown
EP300	ENCSR561ZRE_3	unknown
SMARCA5	ENCSR895HSJ_1	K562
YAP1	GSM1377693	unknown
HNF1A	ENCSR800QIT_2	HepG2
FOXA1	GSM2797135	unknown
CEBPB	GSM1684640	unknown
POLR2A	GSM920949	unknown
ID3	ENCSR005NMT_2	K562
AR	GSM2086292	unknown
EP300	GSM1009631	unknown
POLR2H	ENCSR400FSM_1	K562
GATA3	GSM1844611	unknown
SNAI2	GSM1336158	unknown
CTBP1	ENCSR636EYA_1	MCF-7
GLI2	GSM2212253	unknown
CTCFL	GSM1817655	unknown
PR	GSM2112797	unknown
EP300	GSM2550209	unknown
RELA	GSM2219849	unknown
POLR2A	GSM1240000	unknown
BRD4	GSM2330576	unknown
PCGF1	GSM1319304	unknown
JMJD6	GSM1922076	unknown
PR	GSM2644590	unknown
TAL1	GSM1038698	unknown
BCL11B	GSM2247490	unknown
CHD7	GSM1003473	unknown
ESR1	GSM1858621	unknown
CDC5L	ENCSR121PFY_1	K562
FOXA1	GSM1164145	unknown
EP300	GSM986087	unknown
CTCF	GSM2759386	unknown
FOXA1	GSM631470	unknown
TRIM28	GSM2232853	unknown
POLR2A	GSM822273	unknown
STAG1	GSM614627	unknown
POLR2A	GSM1195563	unknown
CREB1	GSM1010808	unknown
POLR2A	GSM1579361	unknown
KDM1A	GSM1844448	unknown
AR	GSM2186466	unknown
ZBTB33	GSM803392	unknown
KLF15	GSM2519961	unknown
ASCL1	GSM1700638	unknown
AR	GSM1358396	unknown
HLTF	ENCSR090JNM_1	K562
HES1	GSM1208628	unknown
FOXA2	GSM2401464	unknown
ZFP2	ENCSR413ABE_1	unknown
CTCF	GSM1022640	unknown
MED1	GSM1195556	unknown
ESR1	GSM1643949	unknown
CHAT	GSM1898101	unknown
MAX	GSM935405	unknown
CTCF	GSM808765	unknown
BRD4	GSM1328959	unknown
CTCF	GSM489295	unknown
AR	GSM1358414	unknown
STAT3	GSM2188511	unknown
PR	GSM2644589	unknown
CEBPG	ENCSR620VIC_2	K562
FOXA1	GSM2466692	unknown
SUPT5H	GSM1482882	unknown
FOXM1	GSM1001002	unknown
SMC3	GSM2813837	unknown
POLR2A	ENCSR472VBD_1	sigmoid
ESR1	GSM798400	unknown
RELA	GSM486311	unknown
ESR1	GSM2797096	unknown
CTCF	GSM2747720	unknown
EZH2	GSM969562	unknown
ZXDB	ENCSR559IOZ_2	HEK293
MEF2B	GSM1703891	unknown
POLR2A	GSM748555	unknown
SMARCA4	ENCSR643VTW_1	K562
POLR2A	GSM766172	unknown
NR3C1	GSM1176701	unknown
SPI1	GSM2592808	unknown
SUMO2	GSM1622626	unknown
PBX3	GSM1010887	unknown
CTCF	GSM1006878	unknown
BRD4	GSM2635253	unknown
YAP1	GSM1696205	unknown
RELA	GSM1305212	unknown
POLR2A	GSM486500	unknown
POLR2A	GSM2571054	unknown
STAG1	GSM1234119	unknown
HNF4A	GSM469863	unknown
FOXA2	GSM2401465	unknown
ETS1	GSM2442780	unknown
RELA	GSM2419820	unknown
NR3C1	ENCSR424JOE_2	unknown
CTCF	GSM749762	unknown
MNT	ENCSR261EDU_2	HepG2
AR	GSM1527835	unknown
JUN	GSM1208639	unknown
HDAC3	GSM717403	unknown
YY1	GSM935424	unknown
GATA3	GSM1697881	unknown
PLRG1	ENCSR019KPC_2	HepG2
POLR2A	GSM1843414	unknown
ESR1	GSM594603	unknown
TRIM25	ENCSR213VUI_1	K562
ESR1	GSM2797092	unknown
ZBTB26	GSM2026873	unknown
STAG1	GSM1233886	unknown
CTCF	GSM651542	unknown
EHMT2	GSM1644657	unknown
POLR2A	GSM1214683	unknown
AFF4	GSM1405078	unknown
TAL1	GSM2452103	unknown
AEBP2	ENCSR769JRS_2	HEK293
EP300	GSM2550265	unknown
HDAC2	GSM2280033	unknown
POLR2A	GSM726989	unknown
POLR2A	GSM1545659	unknown
NR3C1	ENCSR773NQB_1	unknown
REST	GSM1290159	unknown
HOXB13	GSM2537218	unknown
FOXA1	GSM1164143	unknown
MYC	GSM1008620	unknown
PPARG	GSM1571731	unknown
CHRM2	GSM1275922	unknown
ESR1	GSM798383	unknown
STAG1	GSM1233991	unknown
ESR1	GSM2797109	unknown
ZBTB7A	GSM1939576	unknown
POLR2A	GSM1586673	unknown
RAD21	GSM2297331	unknown
HEXIM1	GSM1866697	unknown
ESR1	GSM2154986	unknown
FOXP3	GSM1056937	unknown
SMARCC1	GSM1835883	unknown
KDM1A	GSM1387030	unknown
ZBTB48	GSM2543160	unknown
FOSL2	ENCSR111ZXV_2	unknown
PHIP	GSM2711377	unknown
RXRG	GSM468181	unknown
FOS	GSM935438	unknown
PHF8	GSM1003450	unknown
ZNF800	ENCSR866WLH_2	unknown
KAT8	ENCSR086FZL_2	K562
PDX1	GSM1416931	unknown
EP300	GSM1669028	unknown
PR	GSM1669035	unknown
CEBPB	GSM1684641	unknown
RAD21	GSM1239538	unknown
GATA2	GSM722396	unknown
CREBBP	GSM831001	unknown
ZNF318	ENCSR334HSW_1	K562
SMC1A	GSM2040026	unknown
POLR2A	GSM486513	unknown
GATA1	GSM722395	unknown
MED1	GSM1679096	unknown
SUZ12	GSM2705896	unknown
TBP	GSM935280	unknown
JUN	GSM1003609	unknown
POLR2A	GSM801062	unknown
GATA3	GSM2154996	unknown
CTCF	GSM2316303	unknown
MYC	GSM2082059	unknown
TP53	GSM1366689	unknown
EZH2	GSM1180139	unknown
MYC	GSM2301921	unknown
JUN	GSM2394414	unknown
EP300	GSM1669057	unknown
BRD4	GSM2359436	unknown
MAX	GSM935348	unknown
KDM2B	GSM2805880	unknown
CTCF	GSM2544245	unknown
FOS	GSM610337	unknown
CDK2	GSM1302193	unknown
BRD4	GSM1709938	unknown
KRAB	GSM1819873	unknown
ESR1	GSM2443983	unknown
STAG1	GSM1234142	unknown
TRIM28	GSM700357	unknown
NR4A1	ENCSR130PDE_2	K562
CTCF	GSM1022633	unknown
VEZF1	GSM1208807	unknown
POLR2A	GSM2218620	unknown
CTCF	GSM1224674	unknown
GTF3C5	GSM2082061	unknown
GATA2	GSM467648	unknown
RUNX1	GSM1032075	unknown
AR	GSM980662	unknown
GATA6	GSM1197320	unknown
ESR1	GSM2135492	unknown
AR	GSM2086305	unknown
RELA	GSM2746542	unknown
HNF4A	GSM1242266	unknown
EP300	GSM2550195	unknown
ZNF654	ENCSR504VDV_1	HEK293
FOXA1	GSM1534742	unknown
NKX2-1	GSM2665569	unknown
BRD2	GSM1328971	unknown
SPI1	GSM1377535	unknown
BRD4	GSM2330551	unknown
CDX2	GSM743039	unknown
FAIRE	GSM631503	unknown
MAPK1	GSM2257574	unknown
FOXA1	GSM1164152	unknown
GATA4	ENCSR590CNM_2	HepG2
ZBTB16	GSM1943549	unknown
NR2F2	GSM1010810	unknown
TRIM28	GSM1010849	unknown
INO80	GSM1082933	unknown
TP63	GSM830122	unknown
RARA	GSM1469989	unknown
NELFA	GSM1670872	unknown
AR	GSM980658	unknown
EP300	GSM1059392	unknown
PAX5	GSM1086294	unknown
POLR2A	GSM2589155	unknown
POLR2A	GSM970260	unknown
NRF1	ENCSR837EYC_1	K562
ESR1	GSM1523081	unknown
FOXA2	GSM2401467	unknown
AR	GSM2393843	unknown
CTCF	ENCSR206ETG_1	gastroesophageal
CTCF	GSM2178296	unknown
GRHL2	GSM2122803	unknown
FOXA1	GSM2219864	unknown
SMARCA4	GSM651557	unknown
POLR2A	GSM1505721	unknown
TLE3	GSM2480825	unknown
JUN	GSM1239467	unknown
USF1	GSM1010828	unknown
ESR1	GSM2970410	unknown
ESR1	GSM631458	unknown
FOXA1	GSM1858659	unknown
GTF2B	GSM1846803	unknown
TP63	GSM1489263	unknown
YY1	GSM2597235	unknown
CTCF	GSM2214100	unknown
ESR1	GSM2135490	unknown
MTA2	ENCSR293QAR_2	GM12878
AR	GSM1691147	unknown
TERC	GSM820438	unknown
GATA1	GSM2877114	unknown
MED1	GSM2190588	unknown
GATA4	GSM1250896	unknown
CEBPG	ENCSR094ZCF_2	MCF-7
POLR2A	GSM1416812	unknown
JUN	GSM935521	unknown
CTCF	GSM2747710	unknown
HDAC2	GSM831029	unknown
GATA3	GSM986073	unknown
GATA3	GSM1469995	unknown
NBN	ENCSR278SQL_2	GM12878
YY1	GSM956127	unknown
USF1	GSM803441	unknown
POLR2A	GSM2467777	unknown
MED1	GSM1566730	unknown
POLR2A	GSM1418967	unknown
E2F1	GSM1976302	unknown
EED	GSM1427066	unknown
ZNF24	ENCSR984MDV_1	HEK293
HDAC2	GSM803493	unknown
SMAD3	GSM1949011	unknown
