wavelength(mic) abs_k(a=0.01mic) abs_k(a=0.1mic) abs_k(a=1.0mic)
226.5 21 21 21
229.1 21 21 21
231.7 21 21 21
234.4 20 20 20
237.1 20 20 20
239.9 20 20 20
242.7 20 20 20
245.5 19 19 19
248.3 19 19 19
251.2 19 19 19
254.1 19 19 19
257 18 18 18
260 18 18 18
263 18 18 18
266.1 17 17 18
269.2 17 17 17
272.3 17 17 17
275.4 17 17 17
278.6 17 17 17
281.8 16 16 16
285.1 16 16 16
288.4 16 16 16
291.7 15 15 15
295.1 15 15 15
298.5 15 15 15
302 14 14 14
305.5 14 14 14
309 14 14 14
312.6 13 13 13
316.2 13 13 13
319.9 13 13 13
323.6 13 13 13
327.3 12 12 12
331.1 12 12 12
335 12 12 12
338.8 11 11 11
342.8 11 11 11
346.7 11 11 11
350.8 11 11 11
354.8 10 10 10
358.9 10 10 10
363.1 10 10 10
367.3 10 10 10
371.5 10 10 10
375.8 9 9 9
380.2 9 9 9
384.6 9 9 9
389 9 9 9
393.6 9 9 9
398.1 8 8 8
402.7 8 8 8
407.4 8 8 8
412.1 8 8 8
416.9 8 8 8
421.7 7 7 7
426.6 7 7 7
431.5 7 7 7
436.5 7 7 7
441.6 7 7 7
446.7 7 7 7
451.9 6 6 6
457.1 6 6 6
462.4 6 6 6
467.7 6 6 6
473.2 6 6 6
478.6 6 6 6
484.2 6 6 6
489.8 5 5 5
495.5 5 5 5
501.2 5 5 5
507 5 5 5
512.9 5 5 5
518.8 5 5 5
524.8 5 5 5
530.9 5 5 5
537 5 5 5
543.3 4 4 4
549.5 4 4 4
555.9 4 4 4
562.3 4 4 4
568.9 4 4 4
575.4 4 4 4
582.1 4 4 4
588.8 4 4 4
595.7 4 4 4
602.6 4 4 4
609.5 3 3 3
616.6 3 3 3
623.7 3 3 3
631 3 3 3
638.3 3 3 3
645.7 3 3 3
653.1 3 3 3
660.7 3 3 3
668.3 3 3 3
676.1 3 3 3
683.9 3 3 3
691.8 3 3 3
699.8 3 3 3
707.9 2 2 2
716.1 2 2 2
724.4 2 2 2
732.8 2 2 2
741.3 2 2 2
749.9 2 2 2
758.6 2 2 2
767.4 2 2 2
776.2 2 2 2
785.2 2 2 2
794.3 2 2 2
803.5 2 2 2
812.8 2 2 2
822.2 2 2 2
831.8 2 2 2
841.4 2 2 2
851.1 2 2 2
861 2 2 2
871 2 2 2
881 1 1 1
891.3 1 1 1
901.6 1 1 1
912 1 1 1
922.6 1 1 1
933.3 1 1 1
944.1 1 1 1
955 1 1 1
966.1 1 1 1
977.2 1 1 1
988.6 1 1 1
1000 1 1 1
1258.93 0 1 0
1584.89 0 0 0
1995.26 0 0 0
2511.89 0 0 0
3162.28 0 0 0
3981.07 0 0 0
5011.87 0 0 0
6309.57 0 0 0
7943.28 0 0 0
10000 0 0 0
